reference	hypA	hypB	annotation
comme ici à blois	comme ici à ba	comme ici a bla	0
comme ici à blois	comme ici a bla	comme ici à ba	1
la droite populaire après la droite humaniste voici la droite forte deux jeunes pousses de l' ump	droite populaire après la droite humaniste voici la droite forte deux jeunes pousses de l' ump	la droite populaire après la droite humaniste voici la droite forte de jeunes pouses de l' ump	1
la droite populaire après la droite humaniste voici la droite forte deux jeunes pousses de l' ump	la droite populaire après la droite humaniste voici la droite forte de jeunes pouses de l' ump	droite populaire après la droite humaniste voici la droite forte deux jeunes pousses de l' ump	0
pour nous le dix huit novembre il y a un congrès	pour nous le dix-huit novembre y a un congrès	pour nous le dix-huit novembre il y a un congrès	0
pour nous le dix huit novembre il y a un congrès	pour nous le dix-huit novembre il y a un congrès	pour nous le dix-huit novembre y a un congrès	1
dis que si	si	dit que si	0
dis que si	dit que si	si	1
du dernier adieu à whitney houston	dernier adieu à whitney houston	du dernier adieu à witmey ouston	1
du dernier adieu à whitney houston	du dernier adieu à witmey ouston	dernier adieu à whitney houston	0
deux mille sept deux mille douze on voit que ces campagnes de facilité	mille sept deux mille douze on voit que ces campagnes de facilité	deux milles sept deux milles douze on voit que ces campagnes de facilité	0
deux mille sept deux mille douze on voit que ces campagnes de facilité	deux milles sept deux milles douze on voit que ces campagnes de facilité	mille sept deux mille douze on voit que ces campagnes de facilité	1
qui existe beaucoup moins aujourd'hui en tout cas qui n' est plus en première ligne	qui existe beaucoup moins aujourd' hui en tout cas qu'il n' est plus en première ligne	qui existe beaucoup moins aujourd' hui en tout cas qu' il n' est plus en première ligne	1
qui existe beaucoup moins aujourd'hui en tout cas qui n' est plus en première ligne	qui existe beaucoup moins aujourd' hui en tout cas qu' il n' est plus en première ligne	qui existe beaucoup moins aujourd' hui en tout cas qu'il n' est plus en première ligne	0
hier les deux finalistes dans la course effrénée à la présidentielle ont abattu leurs dernières cartes	hier les deux finalistes dans la course effréée à la présidentielle ont abattu leur dernères cartes	hier les deux finalistes dans la course effreinée à la présidentielle ont abattu leur dernière carte	0
hier les deux finalistes dans la course effrénée à la présidentielle ont abattu leurs dernières cartes	hier les deux finalistes dans la course effreinée à la présidentielle ont abattu leur dernière carte	hier les deux finalistes dans la course effréée à la présidentielle ont abattu leur dernères cartes	1
à mille huit cent cinquante euros brut	mille huit cents cinquante euros brut	à mille huit cents cinquante euros euh brut	0
à mille huit cent cinquante euros brut	à mille huit cents cinquante euros euh brut	mille huit cents cinquante euros brut	1
parce que tous les deux sarkozy comme hollande avaient la	e tous les deux sarkozy comme hollande avait la	que tous les deux sarkozy comme henlande avait la	1
parce que tous les deux sarkozy comme hollande avaient la	que tous les deux sarkozy comme henlande avait la	e tous les deux sarkozy comme hollande avait la	0
alors on on a en souvenir pékin bien entendu c' était politique mais alors londres	euh alors on on en souvenir euh pékin bien entendu c' était politique mais alors londres	euh alors on on a en souvenir euh pékin bien entendu c' était politique mais alors londres	0
alors on on a en souvenir pékin bien entendu c' était politique mais alors londres	euh alors on on a en souvenir euh pékin bien entendu c' était politique mais alors londres	euh alors on on en souvenir euh pékin bien entendu c' était politique mais alors londres	1
parce qu' il y avait de la confiance et de l' amitié et quand on se retourne sur cette période	est ce qu' il y avait de la confiance et de l' amitié et quand on se retourne sur cette période	parce qu' il y avait de la confiance c et de l'amidié et quand on se retourne sur cette période	1
parce qu' il y avait de la confiance et de l' amitié et quand on se retourne sur cette période	parce qu' il y avait de la confiance c et de l'amidié et quand on se retourne sur cette période	est ce qu' il y avait de la confiance et de l' amitié et quand on se retourne sur cette période	0
non je risque de toucher bond	non j' aurais tout à touché pa	non j' aurais to de tou cer pode	1
non je risque de toucher bond	non j' aurais to de tou cer pode	non j' aurais tout à touché pa	0
c' est cent dix mille suspects supplémentaires interpellés par la police	c est cent dix mille suspects supplémentaires interpellés par la police	c' es cent dix mille suspects supplémentaires interpellés par la police	1
c' est cent dix mille suspects supplémentaires interpellés par la police	c' es cent dix mille suspects supplémentaires interpellés par la police	c est cent dix mille suspects supplémentaires interpellés par la police	0
pas étalé dans le dans la presse	pas italien dans la dans dans la presse euh	pas est allé dans la dans dans la presse euh	0
pas étalé dans le dans la presse	pas est allé dans la dans dans la presse euh	pas italien dans la dans dans la presse euh	1
du terrorisme notamment le les loups solitaires	euh lors du terrorisme notamment euh les les loups solitaires	euh du terrorisme notamment euh le les lous solitaires	0
du terrorisme notamment le les loups solitaires	euh du terrorisme notamment euh le les lous solitaires	euh lors du terrorisme notamment euh les les loups solitaires	1
et manifestement en l' état nous ne sommes pas audible	et manifestement en l' état nous ne sommes pas au dit	et manifestement en l' état nous ne sommes pas au dibe)	0
et manifestement en l' état nous ne sommes pas audible	et manifestement en l' état nous ne sommes pas au dibe)	et manifestement en l' état nous ne sommes pas au dit	1
ce matin nous avons la sortie du live de la tournée d' hubert félix thiéfaine	matin nous avons la sortie du live de la tournée de hubert félix thiéfaine	ce matin nous avons la sortie du live de la tournée d' hubert falixtieiffen	0
ce matin nous avons la sortie du live de la tournée d' hubert félix thiéfaine	ce matin nous avons la sortie du live de la tournée d' hubert falixtieiffen	matin nous avons la sortie du live de la tournée de hubert félix thiéfaine	1
enfin vingt milliards d' impôts et dix milliards d' économies	dix milliards d' économies	vingt vingt milliards d' impôts no et dix milliards d' économie e e pte)	0
enfin vingt milliards d' impôts et dix milliards d' économies	vingt vingt milliards d' impôts no et dix milliards d' économie e e pte)	dix milliards d' économies	1
des fans qui vont avoir des haut le coeur	des fens qui vont avoir des haut de coeurs	des femmes qui vont avoir des hauts le coeur	1
des fans qui vont avoir des haut le coeur	des femmes qui vont avoir des hauts le coeur	des fens qui vont avoir des haut de coeurs	0
alors j' ai entendu un peu la démagogie sur les collectivités vous savez sur les	alors j' ai entendu un peu la démagogie sur les collectivités vous savez sur les euh	alors j' ai entendu un peu la démagogie sur les collectivités u vovez sur les euh	1
alors j' ai entendu un peu la démagogie sur les collectivités vous savez sur les	alors j' ai entendu un peu la démagogie sur les collectivités u vovez sur les euh	alors j' ai entendu un peu la démagogie sur les collectivités vous savez sur les euh	0
tous les deux prennent le maximum de risques et vous et moi spectateurs	les deux prennent le maximum de risques et vous et moi spectateurs	tous les deux prennent le maximum de risque et vous et moi un spectateur	1
tous les deux prennent le maximum de risques et vous et moi spectateurs	tous les deux prennent le maximum de risque et vous et moi un spectateur	les deux prennent le maximum de risques et vous et moi spectateurs	0
un excès de testostérone risque de stériliser le débat des idées dans cette campagne et ça serait vraiment dommage	excet e stosteron risque de stériliser le débat des idées dans cette campagne ce serait vraiment dommage	escuces testosteron risque de stériliser le débat des idées dans cette campagne et ce serait vraiment dommage	1
un excès de testostérone risque de stériliser le débat des idées dans cette campagne et ça serait vraiment dommage	escuces testosteron risque de stériliser le débat des idées dans cette campagne et ce serait vraiment dommage	excet e stosteron risque de stériliser le débat des idées dans cette campagne ce serait vraiment dommage	0
décortiquons cher christophe bonjour	christophe bonjour	décortiquant jacques christophe bonjour	1
décortiquons cher christophe bonjour	décortiquant jacques christophe bonjour	christophe bonjour	0
qu' elle a pas voulu sombrer dans la démagogie ni dans les promesses faciles ni dans les arguments	elle a pas voulu sombrer dans la démagogie ni dans les promesses faciles ni dans les arguments	qu' elle a pas voulu sombrer dans la démagogie ni dans les promesses faciles euh ni dans les arguments euh	1
qu' elle a pas voulu sombrer dans la démagogie ni dans les promesses faciles ni dans les arguments	qu' elle a pas voulu sombrer dans la démagogie ni dans les promesses faciles euh ni dans les arguments euh	elle a pas voulu sombrer dans la démagogie ni dans les promesses faciles ni dans les arguments	0
